ffmpeg version 7.1.1-essentials_build-www.gyan.dev Copyright (c) 2000-2025 the FFmpeg developers
  built with gcc 14.2.0 (Rev1, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-fontconfig --enable-iconv --enable-gnutls --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-zlib --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-sdl2 --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxvid --enable-libaom --enable-libopenjpeg --enable-libvpx --enable-mediafoundation --enable-libass --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libgme --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libtheora --enable-libvo-amrwbenc --enable-libgsm --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-librubberband
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.101 / 61. 19.101
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
[gdigrab @ 000001ee4ba5fcc0] Found window 0x110896, capturing 1920x1078x32 at (0,0)
[gdigrab @ 000001ee4ba5fcc0] Stream #0: not enough frames to estimate rate; consider increasing probesize
Input #0, gdigrab, from 'hwnd=0x110896':
  Duration: N/A, start: 1747235959.487350, bitrate: 1986982 kb/s
  Stream #0:0: Video: bmp, bgra, 1920x1078, 1986982 kb/s, 30 fps, 1000k tbr, 1000k tbn
[aist#1:0/pcm_s16le @ 000001ee4ba6c440] Guessed Channel Layout: stereo
Input #1, dshow, from 'audio=Stereo Mix (Realtek Audio)':
  Duration: N/A, start: 17121.570000, bitrate: 1411 kb/s
  Stream #1:0: Audio: pcm_s16le, 44100 Hz, stereo, s16, 1411 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (bmp (native) -> h264 (libx264))
  Stream #1:0 -> #0:1 (pcm_s16le (native) -> aac (native))
Press [q] to stop, [?] for help
[libx264 @ 000001ee4badc280] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 000001ee4badc280] profile High, level 4.0, 4:2:0, 8-bit
[libx264 @ 000001ee4badc280] 264 - core 164 r3204 373697b - H.264/MPEG-4 AVC codec - Copyleft 2003-2025 - http://www.videolan.org/x264.html - options: cabac=1 ref=2 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=6 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to 'recordings/chrome_recording.mp4':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Video: h264 (avc1 / 0x31637661), yuv420p(tv, progressive), 1920x1078, q=2-31, 30 fps, 15360 tbn
      Metadata:
        encoder         : Lavc61.19.101 libx264
      Side data:
        cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: N/A
  Stream #0:1: Audio: aac (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, fltp, 128 kb/s
      Metadata:
        encoder         : Lavc61.19.101 aac
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A dup=0 drop=9 speed=N/A    
frame=    0 fps=0.0 q=0.0 size=       0KiB time=N/A bitrate=N/A dup=0 drop=9 speed=N/A    
frame=    6 fps=3.8 q=29.0 size=       0KiB time=00:00:00.70 bitrate=   0.5kbits/s dup=0 drop=9 speed=0.449x    
frame=   20 fps=9.6 q=29.0 size=       0KiB time=00:00:01.43 bitrate=   0.3kbits/s dup=0 drop=10 speed=0.685x    
frame=   34 fps= 13 q=29.0 size=       0KiB time=00:00:01.90 bitrate=   0.2kbits/s dup=0 drop=11 speed=0.729x    
frame=   49 fps= 15 q=29.0 size=       0KiB time=00:00:02.40 bitrate=   0.2kbits/s dup=0 drop=13 speed=0.758x    
frame=   62 fps= 17 q=29.0 size=       0KiB time=00:00:02.96 bitrate=   0.1kbits/s dup=0 drop=14 speed=0.808x    
frame=   77 fps= 18 q=29.0 size=       0KiB time=00:00:03.46 bitrate=   0.1kbits/s dup=0 drop=15 speed=0.828x    
frame=   92 fps= 20 q=28.0 size=       0KiB time=00:00:04.06 bitrate=   0.1kbits/s dup=0 drop=15 speed=0.865x    
frame=  107 fps= 21 q=29.0 size=       0KiB time=00:00:04.63 bitrate=   0.1kbits/s dup=0 drop=17 speed=0.888x    
frame=  121 fps= 21 q=29.0 size=       0KiB time=00:00:05.10 bitrate=   0.1kbits/s dup=0 drop=18 speed=0.89x    
frame=  135 fps= 22 q=29.0 size=       0KiB time=00:00:05.60 bitrate=   0.1kbits/s dup=0 drop=19 speed=0.896x    
frame=  150 fps= 22 q=28.0 size=       0KiB time=00:00:06.13 bitrate=   0.1kbits/s dup=0 drop=20 speed=0.907x    
frame=  164 fps= 23 q=29.0 size=       0KiB time=00:00:06.63 bitrate=   0.1kbits/s dup=0 drop=21 speed=0.911x    
frame=  177 fps= 23 q=27.0 size=       0KiB time=00:00:07.10 bitrate=   0.1kbits/s dup=0 drop=23 speed=0.911x    
frame=  192 fps= 23 q=29.0 size=       0KiB time=00:00:07.63 bitrate=   0.1kbits/s dup=0 drop=24 speed=0.918x    
frame=  207 fps= 23 q=28.0 size=       0KiB time=00:00:08.16 bitrate=   0.0kbits/s dup=0 drop=25 speed=0.925x    
frame=  215 fps= 23 q=29.0 size=       0KiB time=00:00:08.46 bitrate=   0.0kbits/s dup=0 drop=25 speed=0.889x    
frame=  225 fps= 22 q=29.0 size=       0KiB time=00:00:08.86 bitrate=   0.0kbits/s dup=0 drop=26 speed=0.884x    
frame=  237 fps= 22 q=29.0 size=       0KiB time=00:00:09.26 bitrate=   0.0kbits/s dup=0 drop=26 speed=0.878x    
frame=  249 fps= 22 q=29.0 size=       0KiB time=00:00:09.70 bitrate=   0.0kbits/s dup=0 drop=27 speed=0.876x    
frame=  263 fps= 23 q=29.0 size=     256KiB time=00:00:10.70 bitrate= 196.0kbits/s dup=0 drop=29 speed=0.923x    
frame=  277 fps= 23 q=29.0 size=     256KiB time=00:00:11.30 bitrate= 185.6kbits/s dup=0 drop=29 speed=0.932x    
frame=  292 fps= 23 q=29.0 size=     256KiB time=00:00:11.96 bitrate= 175.3kbits/s dup=0 drop=30 speed=0.947x    
frame=  308 fps= 23 q=28.0 size=     256KiB time=00:00:12.56 bitrate= 166.9kbits/s dup=0 drop=30 speed=0.955x    
frame=  323 fps= 24 q=29.0 size=     256KiB time=00:00:13.13 bitrate= 159.7kbits/s dup=0 drop=30 speed=0.962x    
frame=  338 fps= 24 q=29.0 size=     256KiB time=00:00:13.63 bitrate= 153.9kbits/s dup=0 drop=30 speed=0.962x    
frame=  353 fps= 24 q=29.0 size=     256KiB time=00:00:14.13 bitrate= 148.4kbits/s dup=0 drop=30 speed=0.962x    
frame=  369 fps= 24 q=29.0 size=     256KiB time=00:00:14.66 bitrate= 143.0kbits/s dup=0 drop=30 speed=0.965x    
frame=  384 fps= 24 q=29.0 size=     256KiB time=00:00:15.16 bitrate= 138.3kbits/s dup=0 drop=30 speed=0.965x    
frame=  400 fps= 25 q=29.0 size=     256KiB time=00:00:15.70 bitrate= 133.6kbits/s dup=0 drop=30 speed=0.967x    
frame=  415 fps= 25 q=29.0 size=     256KiB time=00:00:16.20 bitrate= 129.5kbits/s dup=0 drop=30 speed=0.967x    
frame=  431 fps= 25 q=29.0 size=     256KiB time=00:00:16.73 bitrate= 125.4kbits/s dup=0 drop=30 speed=0.969x    
frame=  446 fps= 25 q=29.0 size=     256KiB time=00:00:17.23 bitrate= 121.7kbits/s dup=0 drop=30 speed=0.969x    
frame=  462 fps= 25 q=29.0 size=     256KiB time=00:00:17.76 bitrate= 118.1kbits/s dup=0 drop=30 speed=0.971x    
frame=  475 fps= 25 q=29.0 size=     256KiB time=00:00:18.20 bitrate= 115.2kbits/s dup=0 drop=31 speed=0.966x    
frame=  488 fps= 25 q=29.0 size=     256KiB time=00:00:18.63 bitrate= 112.6kbits/s dup=0 drop=33 speed=0.963x    
frame=  501 fps= 25 q=29.0 size=     256KiB time=00:00:19.06 bitrate= 110.0kbits/s dup=0 drop=35 speed=0.96x    
frame=  513 fps= 25 q=29.0 size=     512KiB time=00:00:19.50 bitrate= 215.1kbits/s dup=0 drop=37 speed=0.956x    
frame=  528 fps= 25 q=29.0 size=     512KiB time=00:00:20.13 bitrate= 208.3kbits/s dup=0 drop=38 speed=0.963x    
frame=  544 fps= 25 q=27.0 size=     512KiB time=00:00:20.73 bitrate= 202.3kbits/s dup=0 drop=38 speed=0.968x    
frame=  559 fps= 25 q=29.0 size=     512KiB time=00:00:21.40 bitrate= 196.0kbits/s dup=0 drop=38 speed=0.976x    
frame=  574 fps= 26 q=29.0 size=     512KiB time=00:00:21.90 bitrate= 191.5kbits/s dup=0 drop=38 speed=0.975x    
frame=  590 fps= 26 q=29.0 size=     512KiB time=00:00:22.43 bitrate= 187.0kbits/s dup=0 drop=38 speed=0.977x    
frame=  602 fps= 26 q=29.0 size=     512KiB time=00:00:22.83 bitrate= 183.7kbits/s dup=0 drop=38 speed=0.972x    
frame=  615 fps= 26 q=29.0 size=     512KiB time=00:00:23.26 bitrate= 180.3kbits/s dup=0 drop=39 speed=0.966x    
frame=  625 fps= 25 q=29.0 size=     512KiB time=00:00:23.60 bitrate= 177.7kbits/s dup=0 drop=42 speed=0.941x    
frame=  628 fps= 24 q=29.0 size=     512KiB time=00:00:23.70 bitrate= 177.0kbits/s dup=0 drop=42 speed=0.923x    
frame=  632 fps= 24 q=29.0 size=     512KiB time=00:00:23.83 bitrate= 176.0kbits/s dup=0 drop=42 speed=0.908x    
frame=  637 fps= 24 q=28.0 size=     512KiB time=00:00:24.00 bitrate= 174.8kbits/s dup=0 drop=42 speed=0.894x    
frame=  644 fps= 23 q=28.0 size=     512KiB time=00:00:24.33 bitrate= 172.4kbits/s dup=0 drop=42 speed=0.888x    
frame=  650 fps= 23 q=28.0 size=     512KiB time=00:00:24.56 bitrate= 170.7kbits/s dup=0 drop=42 speed=0.879x    
frame=  658 fps= 23 q=29.0 size=     512KiB time=00:00:24.93 bitrate= 168.2kbits/s dup=0 drop=42 speed=0.874x    
frame=  670 fps= 23 q=23.0 size=     512KiB time=00:00:26.33 bitrate= 159.3kbits/s dup=0 drop=42 speed=0.907x    
frame=  679 fps= 23 q=24.0 size=     512KiB time=00:00:27.56 bitrate= 152.2kbits/s dup=0 drop=46 speed=0.928x    
frame=  690 fps= 23 q=28.0 size=     512KiB time=00:00:28.50 bitrate= 147.2kbits/s dup=0 drop=52 speed=0.943x    
frame=  702 fps= 23 q=27.0 size=     512KiB time=00:00:29.50 bitrate= 142.2kbits/s dup=0 drop=53 speed=0.96x    
frame=  715 fps= 23 q=23.0 size=     512KiB time=00:00:30.03 bitrate= 139.7kbits/s dup=0 drop=54 speed=0.961x    
frame=  728 fps= 23 q=29.0 size=     768KiB time=00:00:30.90 bitrate= 203.6kbits/s dup=0 drop=56 speed=0.972x    
frame=  737 fps= 23 q=29.0 size=     768KiB time=00:00:31.26 bitrate= 201.2kbits/s dup=0 drop=57 speed=0.968x    
frame=  750 fps= 23 q=27.0 size=     768KiB time=00:00:31.76 bitrate= 198.1kbits/s dup=0 drop=57 speed=0.968x    
frame=  764 fps= 23 q=29.0 size=     768KiB time=00:00:32.36 bitrate= 194.4kbits/s dup=0 drop=58 speed=0.971x    
frame=  778 fps= 23 q=26.0 size=     768KiB time=00:00:33.00 bitrate= 190.7kbits/s dup=0 drop=58 speed=0.975x    
frame=  790 fps= 23 q=28.0 size=     768KiB time=00:00:33.46 bitrate= 188.0kbits/s dup=0 drop=60 speed=0.973x    
frame=  804 fps= 23 q=29.0 size=     768KiB time=00:00:34.06 bitrate= 184.7kbits/s dup=0 drop=62 speed=0.976x    
frame=  815 fps= 23 q=29.0 size=     768KiB time=00:00:34.50 bitrate= 182.4kbits/s dup=0 drop=64 speed=0.974x    
frame=  830 fps= 23 q=29.0 size=     768KiB time=00:00:35.13 bitrate= 179.1kbits/s dup=0 drop=66 speed=0.978x    
frame=  842 fps= 23 q=27.0 size=     768KiB time=00:00:35.60 bitrate= 176.7kbits/s dup=0 drop=69 speed=0.977x    
frame=  857 fps= 23 q=29.0 size=     768KiB time=00:00:36.26 bitrate= 173.5kbits/s dup=0 drop=69 speed=0.981x    
frame=  870 fps= 23 q=29.0 size=     768KiB time=00:00:36.73 bitrate= 171.3kbits/s dup=0 drop=71 speed=0.98x    
frame=  880 fps= 23 q=29.0 size=     768KiB time=00:00:37.10 bitrate= 169.6kbits/s dup=0 drop=72 speed=0.976x    
frame=  891 fps= 23 q=29.0 size=     768KiB time=00:00:37.53 bitrate= 167.6kbits/s dup=0 drop=74 speed=0.974x    
frame=  904 fps= 23 q=28.0 size=     768KiB time=00:00:38.00 bitrate= 165.6kbits/s dup=0 drop=76 speed=0.973x    
frame=  912 fps= 23 q=28.0 size=     768KiB time=00:00:38.33 bitrate= 164.1kbits/s dup=0 drop=76 speed=0.959x    
frame=  921 fps= 23 q=29.0 size=     768KiB time=00:00:38.83 bitrate= 162.0kbits/s dup=0 drop=81 speed=0.958x    
frame=  935 fps= 23 q=29.0 size=     768KiB time=00:00:39.43 bitrate= 159.6kbits/s dup=0 drop=82 speed=0.961x    
frame=  949 fps= 23 q=27.0 size=    1024KiB time=00:00:40.10 bitrate= 209.2kbits/s dup=0 drop=83 speed=0.965x    
frame=  961 fps= 23 q=29.0 size=    1024KiB time=00:00:41.13 bitrate= 203.9kbits/s dup=0 drop=85 speed=0.978x    
frame=  971 fps= 23 q=29.0 size=    1024KiB time=00:00:41.66 bitrate= 201.3kbits/s dup=0 drop=86 speed=0.978x    
frame=  981 fps= 23 q=29.0 size=    1024KiB time=00:00:42.06 bitrate= 199.4kbits/s dup=0 drop=87 speed=0.976x    
frame=  994 fps= 23 q=27.0 size=    1024KiB time=00:00:42.53 bitrate= 197.2kbits/s dup=0 drop=87 speed=0.974x    
frame= 1002 fps= 23 q=29.0 size=    1024KiB time=00:00:42.83 bitrate= 195.9kbits/s dup=0 drop=88 speed=0.969x    
frame= 1008 fps= 23 q=27.0 size=    1024KiB time=00:00:43.13 bitrate= 194.5kbits/s dup=0 drop=88 speed=0.964x    
frame= 1021 fps= 23 q=29.0 size=    1024KiB time=00:00:43.83 bitrate= 191.4kbits/s dup=0 drop=91 speed=0.967x    
frame= 1033 fps= 23 q=29.0 size=    1024KiB time=00:00:44.36 bitrate= 189.1kbits/s dup=0 drop=92 speed=0.968x    
frame= 1048 fps= 23 q=26.0 size=    1024KiB time=00:00:45.36 bitrate= 184.9kbits/s dup=0 drop=93 speed=0.978x    
frame= 1061 fps= 23 q=29.0 size=    1024KiB time=00:00:46.10 bitrate= 182.0kbits/s dup=0 drop=94 speed=0.983x    
frame= 1074 fps= 23 q=28.0 size=    1024KiB time=00:00:46.60 bitrate= 180.0kbits/s dup=0 drop=95 speed=0.982x    
frame= 1086 fps= 23 q=29.0 size=    1024KiB time=00:00:47.10 bitrate= 178.1kbits/s dup=0 drop=96 speed=0.982x    
frame= 1101 fps= 23 q=29.0 size=    1024KiB time=00:00:47.66 bitrate= 176.0kbits/s dup=0 drop=96 speed=0.983x    
frame= 1114 fps= 23 q=28.0 size=    1024KiB time=00:00:48.13 bitrate= 174.3kbits/s dup=0 drop=97 speed=0.983x    
frame= 1129 fps= 23 q=29.0 size=    1024KiB time=00:00:48.86 bitrate= 171.7kbits/s dup=0 drop=98 speed=0.987x    
frame= 1141 fps= 23 q=27.0 size=    1024KiB time=00:00:49.26 bitrate= 170.3kbits/s dup=0 drop=100 speed=0.985x    
frame= 1155 fps= 23 q=29.0 size=    1024KiB time=00:00:49.80 bitrate= 168.5kbits/s dup=0 drop=100 speed=0.985x    
frame= 1168 fps= 23 q=28.0 size=    1024KiB time=00:00:50.26 bitrate= 166.9kbits/s dup=0 drop=102 speed=0.984x    
frame= 1182 fps= 23 q=29.0 size=    1280KiB time=00:00:50.83 bitrate= 206.3kbits/s dup=0 drop=102 speed=0.986x    
frame= 1194 fps= 23 q=28.0 size=    1280KiB time=00:00:51.30 bitrate= 204.4kbits/s dup=0 drop=105 speed=0.985x    
frame= 1209 fps= 23 q=29.0 size=    1280KiB time=00:00:51.90 bitrate= 202.0kbits/s dup=0 drop=105 speed=0.986x    
frame= 1220 fps= 23 q=28.0 size=    1280KiB time=00:00:52.26 bitrate= 200.6kbits/s dup=0 drop=107 speed=0.984x    
frame= 1234 fps= 23 q=29.0 size=    1280KiB time=00:00:52.83 bitrate= 198.5kbits/s dup=0 drop=108 speed=0.985x    
frame= 1244 fps= 23 q=27.0 size=    1280KiB time=00:00:53.20 bitrate= 197.1kbits/s dup=0 drop=108 speed=0.982x    
frame= 1254 fps= 23 q=29.0 size=    1280KiB time=00:00:53.60 bitrate= 195.6kbits/s dup=0 drop=109 speed=0.98x    
frame= 1257 fps= 23 q=29.0 size=    1280KiB time=00:00:53.83 bitrate= 194.8kbits/s dup=0 drop=110 speed=0.975x    
frame= 1269 fps= 23 q=29.0 size=    1280KiB time=00:00:54.23 bitrate= 193.4kbits/s dup=0 drop=112 speed=0.973x    
frame= 1283 fps= 23 q=27.0 size=    1280KiB time=00:00:54.76 bitrate= 191.5kbits/s dup=0 drop=113 speed=0.973x    
frame= 1294 fps= 23 q=29.0 size=    1280KiB time=00:00:55.36 bitrate= 189.4kbits/s dup=0 drop=114 speed=0.975x    
frame= 1308 fps= 23 q=29.0 size=    1280KiB time=00:00:56.46 bitrate= 185.7kbits/s dup=0 drop=115 speed=0.986x    
frame= 1321 fps= 23 q=27.0 size=    1280KiB time=00:00:56.93 bitrate= 184.2kbits/s dup=0 drop=117 speed=0.985x    
frame= 1335 fps= 23 q=27.0 size=    1280KiB time=00:00:57.50 bitrate= 182.4kbits/s dup=0 drop=119 speed=0.986x    
frame= 1347 fps= 23 q=27.0 size=    1280KiB time=00:00:58.00 bitrate= 180.8kbits/s dup=0 drop=120 speed=0.986x    
frame= 1358 fps= 23 q=29.0 size=    1280KiB time=00:00:58.43 bitrate= 179.5kbits/s dup=0 drop=121 speed=0.984x    
frame= 1372 fps= 23 q=28.0 size=    1280KiB time=00:00:58.96 bitrate= 177.8kbits/s dup=0 drop=122 speed=0.984x    
frame= 1384 fps= 23 q=28.0 size=    1280KiB time=00:00:59.43 bitrate= 176.4kbits/s dup=0 drop=122 speed=0.983x    
